user_ID,Age,Gender,Education Level,Job Title,Years of Experience,Salary
U0001,32.0,m,E02,J001,5.0,90000.0
U0002,28.0,f,E03,J002,3.0,65000.0
U0003,45.0,m,E04,J003,15.0,150000.0
U0004,36.0,f,E02,J004,7.0,60000.0
U0005,52.0,m,E03,J005,20.0,200000.0
U0006,29.0,m,E02,J006,2.0,55000.0
U0007,42.0,f,E03,J007,12.0,120000.0
U0008,31.0,m,E02,J008,4.0,80000.0
U0009,26.0,f,E02,J009,1.0,45000.0
U0010,38.0,m,E04,J010,10.0,110000.0
U0011,29.0,m,E03,J011,3.0,75000.0
U0012,48.0,f,E02,J012,18.0,140000.0
U0013,35.0,m,E02,J013,6.0,65000.0
U0014,40.0,f,E03,J014,14.0,130000.0
U0015,27.0,m,E02,J015,2.0,40000.0
U0016,44.0,m,E02,J016,16.0,125000.0
U0017,33.0,f,E03,J017,7.0,90000.0
U0018,39.0,m,E04,J018,12.0,115000.0
U0019,25.0,f,E02,J019,0.0,35000.0
U0020,51.0,m,E02,J020,22.0,180000.0
U0021,34.0,f,E03,J021,5.0,80000.0
U0022,47.0,m,E03,J022,19.0,190000.0
U0023,30.0,m,E02,J023,2.0,50000.0
U0024,36.0,f,E02,J024,9.0,60000.0
U0025,41.0,m,E03,J025,13.0,140000.0
U0026,28.0,f,E02,J026,3.0,45000.0
U0027,37.0,f,E03,J027,11.0,110000.0
U0028,24.0,m,E02,J028,1.0,40000.0
U0029,43.0,f,E04,J029,15.0,140000.0
U0030,33.0,m,E03,J030,6.0,90000.0
U0031,50.0,m,E02,J031,25.0,250000.0
U0032,31.0,f,E02,J032,4.0,55000.0
U0033,29.0,m,E03,J033,3.0,75000.0
U0034,39.0,f,E02,J034,10.0,65000.0
U0035,46.0,m,E04,J003,20.0,170000.0
U0036,27.0,m,E02,J035,2.0,45000.0
U0037,35.0,f,E02,J036,7.0,60000.0
U0038,42.0,m,E03,J037,14.0,115000.0
U0039,26.0,f,E02,J038,1.0,40000.0
U0040,49.0,m,E02,J039,21.0,160000.0
U0041,34.0,f,E03,J040,5.0,80000.0
U0042,48.0,m,E03,J041,18.0,190000.0
U0043,30.0,m,E02,J042,3.0,60000.0
U0044,36.0,f,E02,J043,8.0,45000.0
U0045,41.0,m,E03,J044,13.0,130000.0
U0046,28.0,f,E02,J045,2.0,40000.0
U0047,32.0,m,E02,J046,5.0,75000.0
U0048,45.0,f,E03,J047,16.0,180000.0
U0049,38.0,m,E04,J010,11.0,120000.0
U0050,25.0,m,E02,J048,0.0,35000.0
U0051,51.0,f,E02,J049,22.0,130000.0
U0052,33.0,m,E03,J050,7.0,85000.0
U0053,40.0,f,E02,J051,12.0,60000.0
U0054,47.0,m,E03,J052,19.0,200000.0
U0055,29.0,f,E02,J053,3.0,50000.0
U0056,36.0,m,E02,J008,9.0,95000.0
U0057,27.0,f,E03,J054,2.0,65000.0
U0058,43.0,m,E04,J018,17.0,140000.0
U0059,30.0,f,E02,J055,4.0,55000.0
U0060,35.0,m,E03,J007,7.0,105000.0
U0061,51.0,f,E03,J056,23.0,170000.0
U0062,29.0,m,E02,J006,3.0,50000.0
U0063,40.0,f,E02,J012,12.0,80000.0
U0064,47.0,m,E04,J057,21.0,180000.0
U0065,26.0,m,E02,J058,1.0,35000.0
U0066,38.0,f,E03,J059,10.0,90000.0
U0067,46.0,m,E02,J060,19.0,120000.0
U0068,31.0,f,E02,J061,5.0,45000.0
U0069,34.0,m,E03,J062,8.0,90000.0
U0070,49.0,f,E03,J063,18.0,150000.0
U0071,33.0,m,E02,J064,6.0,65000.0
U0072,39.0,f,E02,J024,11.0,70000.0
U0073,45.0,m,E04,J065,16.0,190000.0
U0074,28.0,m,E02,J066,2.0,40000.0
U0075,42.0,f,E03,J067,14.0,120000.0
U0076,37.0,m,E02,J014,10.0,95000.0
U0077,50.0,f,E02,J016,22.0,160000.0
U0078,32.0,m,E03,J068,6.0,100000.0
U0079,48.0,f,E03,J069,20.0,180000.0
U0080,30.0,f,E02,J070,3.0,55000.0
U0081,36.0,m,E02,J071,8.0,70000.0
U0082,41.0,f,E03,J002,13.0,80000.0
U0083,25.0,m,E02,J072,0.0,30000.0
U0084,52.0,m,E04,J073,24.0,250000.0
U0085,29.0,f,E02,J074,2.0,40000.0
U0086,34.0,f,E03,J075,10.0,95000.0
U0087,27.0,m,E02,J076,2.0,45000.0
U0088,40.0,f,E02,J036,15.0,80000.0
U0089,46.0,m,E03,J077,21.0,135000.0
U0090,31.0,f,E02,J009,6.0,55000.0
U0091,36.0,m,E04,J078,11.0,120000.0
U0092,29.0,f,E02,J004,3.0,40000.0
U0093,43.0,m,E02,J079,18.0,105000.0
