Age,Gender,Education_Level,Job_Title,Years_of_Experience,Salary,Gender_Female,Gender_Male,Gender_Other,Education_Level_encode,Job_Title_encode
32.0,Male,Bachelor,Software Engineer,5.0,90000.0,0.0,1.0,0.0,2.0,113243.24324324324
28.0,Female,Master,Data Analyst,3.0,65000.0,1.0,0.0,0.0,3.0,125090.90909090909
45.0,Male,PhD,Senior Manager,15.0,150000.0,0.0,1.0,0.0,4.0,160000.0
36.0,Female,Bachelor,Sales Associate,7.0,60000.0,1.0,0.0,0.0,2.0,35857.142857142855
52.0,Male,Master,Director,20.0,200000.0,0.0,1.0,0.0,3.0,200000.0
29.0,Male,Bachelor,Marketing Analyst,2.0,55000.0,0.0,1.0,0.0,2.0,62916.666666666664
42.0,Female,Master,Product Manager,12.0,120000.0,1.0,0.0,0.0,3.0,142476.03833865814
31.0,Male,Bachelor,Sales Manager,4.0,80000.0,0.0,1.0,0.0,2.0,102946.42857142857
26.0,Female,Bachelor,Marketing Coordinator,1.0,45000.0,1.0,0.0,0.0,2.0,81056.96202531646
38.0,Male,PhD,Senior Scientist,10.0,110000.0,0.0,1.0,0.0,4.0,123333.33333333333
29.0,Male,Master,Software Developer,3.0,75000.0,0.0,1.0,0.0,3.0,64680.0
48.0,Female,Bachelor,HR Manager,18.0,140000.0,1.0,0.0,0.0,2.0,110000.0
35.0,Male,Bachelor,Financial Analyst,6.0,65000.0,0.0,1.0,0.0,2.0,87692.30769230769
40.0,Female,Master,Project Manager,14.0,130000.0,1.0,0.0,0.0,3.0,119090.90909090909
27.0,Male,Bachelor,Customer Service Rep,2.0,40000.0,0.0,1.0,0.0,2.0,40000.0
44.0,Male,Bachelor,Operations Manager,16.0,125000.0,0.0,1.0,0.0,2.0,95938.59649122808
33.0,Female,Master,Marketing Manager,7.0,90000.0,1.0,0.0,0.0,3.0,117164.70588235294
39.0,Male,PhD,Senior Engineer,12.0,115000.0,0.0,1.0,0.0,4.0,127500.0
25.0,Female,Bachelor,Data Entry Clerk,0.0,35000.0,1.0,0.0,0.0,2.0,35000.0
51.0,Male,Bachelor,Sales Director,22.0,180000.0,0.0,1.0,0.0,2.0,124112.90322580645
34.0,Female,Master,Business Analyst,5.0,80000.0,1.0,0.0,0.0,3.0,77500.0
47.0,Male,Master,VP of Operations,19.0,190000.0,0.0,1.0,0.0,3.0,190000.0
30.0,Male,Bachelor,IT Support,2.0,50000.0,0.0,1.0,0.0,2.0,50000.0
36.0,Female,Bachelor,Recruiter,9.0,60000.0,1.0,0.0,0.0,2.0,65000.0
41.0,Male,Master,Financial Manager,13.0,140000.0,0.0,1.0,0.0,3.0,143059.7014925373
28.0,Female,Bachelor,Social Media Specialist,3.0,45000.0,1.0,0.0,0.0,2.0,45000.0
37.0,Female,Master,Software Manager,11.0,110000.0,1.0,0.0,0.0,3.0,110000.0
24.0,Male,Bachelor,Junior Developer,1.0,40000.0,0.0,1.0,0.0,2.0,40000.0
43.0,Female,PhD,Senior Consultant,15.0,140000.0,1.0,0.0,0.0,4.0,140000.0
33.0,Male,Master,Product Designer,6.0,90000.0,0.0,1.0,0.0,3.0,56200.0
50.0,Male,Bachelor,CEO,25.0,250000.0,0.0,1.0,0.0,2.0,250000.0
31.0,Female,Bachelor,Accountant,4.0,55000.0,1.0,0.0,0.0,2.0,55000.0
29.0,Male,Master,Data Scientist,3.0,75000.0,0.0,1.0,0.0,3.0,166105.96026490067
39.0,Female,Bachelor,Marketing Specialist,10.0,65000.0,1.0,0.0,0.0,2.0,65000.0
46.0,Male,PhD,Senior Manager,20.0,170000.0,0.0,1.0,0.0,4.0,160000.0
27.0,Male,Bachelor,Technical Writer,2.0,45000.0,0.0,1.0,0.0,2.0,45000.0
35.0,Female,Bachelor,HR Generalist,7.0,60000.0,1.0,0.0,0.0,2.0,70000.0
42.0,Male,Master,Project Engineer,14.0,115000.0,0.0,1.0,0.0,3.0,115000.0
26.0,Female,Bachelor,Customer Success Rep,1.0,40000.0,1.0,0.0,0.0,2.0,40000.0
49.0,Male,Bachelor,Sales Executive,21.0,160000.0,0.0,1.0,0.0,2.0,43026.31578947369
34.0,Female,Master,UX Designer,5.0,80000.0,1.0,0.0,0.0,3.0,80000.0
48.0,Male,Master,Operations Director,18.0,190000.0,0.0,1.0,0.0,3.0,190000.0
30.0,Male,Bachelor,Network Engineer,3.0,60000.0,0.0,1.0,0.0,2.0,60000.0
36.0,Female,Bachelor,Administrative Assistant,8.0,45000.0,1.0,0.0,0.0,2.0,50000.0
41.0,Male,Master,Strategy Consultant,13.0,130000.0,0.0,1.0,0.0,3.0,130000.0
28.0,Female,Bachelor,Copywriter,2.0,40000.0,1.0,0.0,0.0,2.0,40000.0
32.0,Male,Bachelor,Account Manager,5.0,75000.0,0.0,1.0,0.0,2.0,75000.0
45.0,Female,Master,Director of Marketing,16.0,180000.0,1.0,0.0,0.0,3.0,137840.9090909091
38.0,Male,PhD,Senior Scientist,11.0,120000.0,0.0,1.0,0.0,4.0,123333.33333333333
25.0,Male,Bachelor,Help Desk Analyst,0.0,35000.0,0.0,1.0,0.0,2.0,35000.0
51.0,Female,Bachelor,Customer Service Manager,22.0,130000.0,1.0,0.0,0.0,2.0,105000.0
33.0,Male,Master,Business Intelligence Analyst,7.0,85000.0,0.0,1.0,0.0,3.0,85000.0
40.0,Female,Bachelor,Event Coordinator,12.0,60000.0,1.0,0.0,0.0,2.0,52500.0
47.0,Male,Master,VP of Finance,19.0,200000.0,0.0,1.0,0.0,3.0,200000.0
